ID,RequestType,FAQ_Reference,Required_Fields,Optional_Fields,Notes
1,Address Update,,"Name,CPT ID,Previous Address,New Address,Phone","Upload Supporting Docs","Standard address change request"
2,Name Change,,"Name,CPT ID,Previous Name,New Name,Phone","Upload Supporting Docs","Legal name change request"
3,Notice Packet Request,,"Name,CPT ID,Email Address,Mailing Address,Phone",,"Request for physical notice packet"
4,Passcode Request,How to find on notice,"Name,CPT ID,Email Address,Phone",,"FAQ reference: How to find passcode on notice"
5,Requests to Be Added,,"Name,CPT ID,Reason,Address,Phone","Upload Supporting Docs","Request to be added to case/class"
6,Check Reissue Request,,"Name,CPT ID,Reason,Previous Address,New Address,Email Address,Phone",,"Request for check reissue due to address change"
7,Dispute Work Weeks/Shifts,,"Name,CPT ID,Reason,Address,Phone","Upload Supporting Docs","Dispute regarding work weeks or shifts"
8,Deceased Class Member,,"Name,CPT ID,Beneficiary Name,Beneficiary Address,Beneficiary Email,Phone","Upload Supporting Docs","Notification of deceased class member"
9,Deficiency Response,,"Name,CPT ID,Detailed Response,Phone","Upload Supporting Docs","Response to deficiency notice"
10,Tax Form Request,,"Name,CPT ID,Email Address,Mailing Address,Phone",,"Request for tax forms (1099, etc.)"
11,Copy of Cashed Check,,"Name,CPT ID,Email Address,Mailing Address,Phone",,"Request for copy of cashed check"
12,Request Fraud Affidavit,,"Name,CPT ID,Email Address,Mailing Address,Phone",,"Request for fraud affidavit form"
13,SSN Response,,"Name,CPT ID,Email Address,Mailing Address,SSN/Tax ID,Phone",,"Response with SSN/Tax ID information"
14,What is my settlement amount,How to find on notice,Phone,,"FAQ reference: Settlement amount lookup - may resolve without submission"
15,When will I receive my check,How to find on notice,Phone,,"FAQ reference: Check timing - may resolve without submission"
16,Did you receive my claim form/response,Phone,,"Status inquiry - may resolve without submission"
17,Have you received my supporting documents,Phone,,"Status inquiry - may resolve without submission"
