1,HARTRANFT v TVI INC & APOGEE RETAIL,ApogeeHartranftClaimsSQL,DonationCallSettlement,ClassMembers,Select * From ClassMembers where OptInReceived is not null,Truncate Table ClassMembers,Truncate Table OCPEmployees,"INSERT INTO OCPEmployees (ID, ClaimNo, FName, LName, Address1, Address2, City, State, Zip, Homephone, WorkPhone, CellPhone1, CellPhone2, CellPhone3, CellPhone4, CellPhone5, CellPhone6, CellPhone7, Email, CPTID, LastLoggedIn, DateSigned, OptIn, OptInReceived, ESign, ConfirmationNo, IPAdd, Province, PostalCode, Country, POBox, International, FullAddress, [Delete] ) SELECT ID, [ID]+1000000 AS x, FirstName, LastName, Address1, Address2, City, State, Zip, Homephone, WorkPhone, CellPhone1, CellPhone2, CellPhone3, CellPhone4, CellPhone5, CellPhone6, CellPhone7, Email, CPTID, LastLoggedIn, DateSigned, OptIn, OptInReceived, ESign, ConfirmationNo, IPAdd, Province, PostalCode, Country, POBox, International, FullAddress, 'False' FROM ClassMembers WHERE OptInReceived Is Not Null","UPDATE dbo.OCPEmployees SET EmployeeName = LName + ', ' + FName, FullName = FName + ' ' + LName",Update OCPEmployees Set [Delete] = 'True' WHERE IPAdd = '209.80.5.75' Or Email Like '%cptgroup.com',"Update OCPEmployees Set [Delete] = 'True' From ( Select ClaimNo, ClaimFiledOnline From cleanclaims) b Where b.ClaimNo = OCPEmployees.ClaimNo And b.ClaimFiledOnline = 1",Delete From OCPEmployees Where [Delete] = 1,Select * From OCPEmployees Where [Delete] = 0,"INSERT INTO CleanClaims (MailingListID, ClaimNo, EmployeeName, Address1, Address2, City, State, Zip, Homephone, WorkPhone, CellPhone, CellPhone1, CellPhone2, CellPhone3, CellPhone4, CellPhone5, CellPhone6, Email, CPTID, DateLastUpdate, DateSignedOnline, DateReceived, ESign, ConfirmationNo, IPAdd, Province, PostalCode, Country, POBox, International, FullAddress, ClaimFiledOnLine, EnteredBy, DateEntered, LateClaim) SELECT ID, ClaimNo, EmployeeName, Address1, Address2, City, State, Zip, Homephone, WorkPhone, CellPhone1, CellPhone2, CellPhone3, CellPhone4, CellPhone5, CellPhone6, CellPhone7, Email, CPTID, LastLoggedIn, DateSigned, OptInReceived, ESign, ConfirmationNo, IPAdd, Province, PostalCode, Country, POBox, International, FullAddress, 'True' as xClaimFiledOnline, 'cGary' AS xEnteredby, GETDATE() AS Expr1, IIf([OptInReceived] > '8/15/2019 23:59:59','True','False') AS xReceived FROM OCPEmployees Where OptInReceived is not null","INSERT INTO MailingList (ID, EmployeeName, FullName, FName, LName, Address1, Address2, City, State, Zip, Email, Homephone, WorkPhone, CellPhone, Country ) SELECT ID, EmployeeName, FullName, FName, LName, Address1, Address2, City, State, Zip, Email, Homephone, WorkPhone, CellPhone1, Country FROM OCPEmployees",NULL,1,0,Attachment,NULL,NULL,0,Claim,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,OptInReceived,NULL
2,Kujat v Roundys Supermarkets,RoundysKujatPostCertSQL,marianoslawsuit,ClassMembers,Select * From ClassMembers where OptInReceived is not null,Truncate Table ClassMembers,Truncate Table OCPEmployees,"INSERT INTO OCPEmployees (ID, ClaimNo, EmployeeName, FullName, FName, LName, Address1, Address2, City, State, Zip, Telephone, Telephone2, Email, CompanyEmail, PassCode, EmergencyContactName, EmergencyContactPhone, LastLoggedIn, DateSigned, OptIn, OptInReceived, ESign, ConfirmationNo, IPAdd, AddressChanged) SELECT ID, [ID]+1000000 AS x, EmployeeName, FullName, FName, LName, Address1, Address2, City, State, Zip, Telephone, Telephone2, Email, CompanyEmail, PassCode, EmergencyContactName, EmergencyContactPhone, LastLoggedIn, DateSigned, OptIn, OptInReceived, ESign, ConfirmationNo, IPAdd, AddressChanged FROM ClassMembers WHERE OptInReceived Is Not Null","UPDATE dbo.OCPEmployees SET EmployeeName = LName + ', ' + FName, FullName = FName + ' ' + LName",Update OCPEmployees Set [Delete] = 'True' WHERE ID > 4999,"Update OCPEmployees Set [Delete] = 'True' From ( Select ClaimNo, ClaimFiledOnline From cleanclaims) b Where b.ClaimNo = OCPEmployees.ClaimNo And b.ClaimFiledOnline = 1",Delete From OCPEmployees Where [Delete] = 1,Select * From OCPEmployees Where [Delete] = 0,"INSERT INTO CleanClaims (MailingListID, ClaimNo, EmployeeName, Address1, Address2, City, State, Zip, Telephone, Telephone2, Email, CompanyEmail, EmergencyContactName, EmergencyContactPhone, PassCode, DateLastUpdate, SignatureDate, DateReceived, Esign, ConfirmationNo, IPAdd, AddressChange, Attachment, ClaimFiledOnLine, EnteredBy, DateEntered, LateClaim) SELECT ID, ClaimNo, EmployeeName, Address1, Address2, City, State, Zip, Telephone, Telephone2, Email, CompanyEmail, EmergencyContactName, EmergencyContactPhone, PassCode, LastLoggedIn, DateSigned, OptInReceived, ESign, ConfirmationNo, IPAdd, AddressChanged, '\\cptfs2\ClassAction2\Post Certs\ROUNDYS SUPERMARKETS_KUJAT_PC\OCP\' + Convert(VARCHAR,ID) + '.pdf' As xAttachment, 'True' as xClaimFiledOnline,'cGary' As xEnteredby,GETDATE() AS Expr1, IIF(OptInReceived > '8/13/2019 23:59:59','True','False') As xReceived FROM OCPEmployees Where OptInReceived is not null",NULL,"Update MailingList Set Address1 = b.Address1,Address2 = b.Address2,City = b.City,State = b.State,Zip = b.Zip From (Select ID,Address1,Address2,City,State,Zip From OCPEmployees Where addressChanged = 'True') b Where b.ID = MailingList.ID",0,0,PDFPath,NULL,NULL,0,Exclusion,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,OptInReceived,NULL
3,"Rodriguez v. Fitness Evolution, Inc./OM Fitness, LLC/Pleasanton Fitness",FitnessEvolutionRodriguezPostCertSQL,FitnessEvolutionLawsuit,ClassMembers,Select * From ClassMembers where OptInReceived is not null,Truncate Table ClassMembers,Truncate Table OCPEmployees,"INSERT INTO OCPEmployees (ID, ClaimNo, EmployeeName, FullName, FName, LName, Address1, Address2, City, State, Zip, Cellphone, Telephone, Email, PassCode, LastLoggedIn,  DateSigned, OptIn, OptInReceived, ESign, ConfirmationNo, IPAdd, AddressChanged) SELECT ID, [ID]+1000000 AS x, EmployeeName, IFullName, FName, LName, Address1, Address2, City, State, Zip, Cellphone, Telephone, Email, PassCode, LastLoggedIn, DateSigned, OptIn, OptInReceived, ESign, ConfirmationNo, IPAdd, AddressChanged FROM ClassMembers WHERE OptInReceived Is Not Null","UPDATE dbo.OCPEmployees SET EmployeeName = LName + ', ' + FName, FullName = FName + ' ' + LName",Update OCPEmployees Set [Delete] = 'True' WHERE ID > 4999,"Update OCPEmployees Set [Delete] = 'True' From ( Select ClaimNo, ClaimFiledOnline From cleanclaims) b Where b.ClaimNo = OCPEmployees.ClaimNo And b.ClaimFiledOnline = 1",Delete From OCPEmployees Where [Delete] = 1,Select * From OCPEmployees Where [Delete] = 0,"INSERT INTO CleanClaims ( MailingListID, ClaimNo, EmployeeName, Address1, Address2, City, State, Zip, CellPhone, HomePhone, Email, PassCode, DateLastUpdate, SignatureDate, DateReceived, Esign, ConfirmationNo, IPAdd, AddressChange, ClaimFiledOnLine, EnteredBy, DateEntered, LateClaim ) SELECT ID, ClaimNo, EmployeeName, Address1, Address2, City, State, Zip, CellPhone, Telephone, Email, PassCode, LastLoggedIn, DateSigned, OptInReceived, ESign, ConfirmationNo, IPAdd, AddressChanged, 'True' AS xClaimFiledOnline, 'cGary' AS xEnteredby, GETDATE() AS Expr1, IIF(OptInReceived > '7/1/2019 23:59:59','True','False') As xReceived FROM OCPEmployees Where OptInReceived is not null",NULL,"Update MailingList Set Address1 = b.Address1,Address2 = b.Address2,City = b.City,State = b.State,Zip = b.Zip From (Select ID,Address1,Address2,City,State,Zip From OCPEmployees Where addressChanged = 'True') b Where b.ID = MailingList.ID",0,0,NULL,NULL,NULL,0,Claim,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,OptInReceived,NULL
5,"Broomfield, et al. v. Craft Brew Alliance, Inc.",KonaBrewingBroomfieldClaimsSQL,konabeersettlement,ClassMembers,Select * From ClassMembers where OptInReceived is not null,Truncate Table ClassMembers,Truncate Table OCPEmployees,"Insert Into OCPEmployees (ID,ClaimNo,EmployeeName,FirstName,LastName,Address1,Address2,City,State,Zip,Email,Telephone,Country,UnitPrice,Passcode,ConfirmationNo,FullAddress,IPAdd,DateSigned,OptOut,OptInReceived,ESign,AddressChanged,YesVerifiedAmt,NoVerifiedAmt,VerifiedAmt,VerifiedUploadPath,KnownVetUploadPath,YesProofOfPurchase,NoProofOfPurchase,FileUploadPath1,TotalAmtOfPurchases,HunkOfBeef,NumberOfHunkCans,NumberOfHunkCases,HunkRetailer,HunkLocation,HunkDates,HunkAttest,BraisedBeef,NumberOfBraisedCans,NumberOfBraisedCases,BraisedRetailer,BraisedLocation,BraisedDates,BraisedAttest,PulledBeef,NumberOfPulledCans,NumberOfPulledCases,PulledRetailer,PulledLocation,PulledDates,PulledAttest,TotalAmtOfNoPurchases,MerchandiseCertificate,CashPayment,YesPetSick,NoPetSick,FileUploadPath2,VetVisit1,VetTotal1,VetName1,VetVisit2,VetTotal2,VetName2,VetVisit3,VetTotal3,VetName3,VetVisit4,VetTotal4,VetName4,EmailConfirmed,EmailConfirmedDate,EmailConfirmationNo,IsHuman,KnownClassMember,Attachment) Select ID,[ID]+1000000 AS x,EmployeeName,FirstName,LastName,Address1,Address2,City,State,Zip,Email,Telephone,Country,UnitPrice,Passcode,ConfirmationNo,FullAddress,IPAdd,DateSigned,OptOut,OptInReceived,ESign,AddressChanged,YesVerifiedAmt,NoVerifiedAmt,VerifiedAmt,VerifiedUploadPath,KnownVetUploadPath,YesProofOfPurchase,NoProofOfPurchase,FileUploadPath1,TotalAmtOfPurchases,HunkOfBeef,NumberOfHunkCans,NumberOfHunkCases,HunkRetailer,HunkLocation,HunkDates,HunkAttest,BraisedBeef,NumberOfBraisedCans,NumberOfBraisedCases,BraisedRetailer,BraisedLocation,BraisedDates,BraisedAttest,PulledBeef,NumberOfPulledCans,NumberOfPulledCases,PulledRetailer,PulledLocation,PulledDates,PulledAttest,TotalAmtOfNoPurchases,MerchandiseCertificate,CashPayment,YesPetSick,NoPetSick,FileUploadPath2,VetVisit1,VetTotal1,VetName1,VetVisit2,VetTotal2,VetName2,VetVisit3,VetTotal3,VetName3,VetVisit4,VetTotal4,VetName4,EmailConfirmed,EmailConfirmedDate,EmailConfirmationNo,IsHuman,KnownClassMember,IIf(VerifiedUploadPath Is Not Null,VerifiedUploadPath,IIf(KnownVetUploadPath Is Not Null,KnownVetUploadPath,IIf(FileUploadPath1 Is Not Null,FileUploadPath1,IIf(FileUploadPath2 Is Not Null,FileUploadPath2,'')))) AS xAttachment From Classmembers where OptinReceived Is Not Null","UPDATE dbo.OCPEmployees SET EmployeeName = LastName + ', ' + FirstName, FullName = FirstName + ' ' + LastName",Update OCPEmployees Set [Delete] = 'True' WHERE IPAdd = '209.80.5.75' Or Email Like '%cptgroup.com',"Update OCPEmployees Set [Delete] = 'True' From ( Select ClaimNo, ClaimFiledOnline From cleanclaims) b Where b.ClaimNo = OCPEmployees.ClaimNo And b.ClaimFiledOnline = 1",Delete From OCPEmployees Where [Delete] = 1,Select * From OCPEmployees Where [Delete] = 0,"INSERT INTO CleanClaims (MailingListID,ClaimNo,EmployeeName,FullName,FName,LName,Address1,Address2,City,State,Zip,Email,HomePhone,Province,PostalCode,Country,ConfirmationNo,POBox,International,FullAddress,IPAdd,Option_A,Option_B,FourPackKonaBeersUnitCount,SixPackKonaBeersUnitCount,TwelvePackKonaBeersUnitCount,TwentyFourPackKonaBeersUnitCount,TotalAmount,PaymentMethod,Attachment,DateLastUpdate,DateSignedOnline,OptOut,DateReceived,ESign, ClaimFiledOnLine, EnteredBy, DateEntered, LateClaim,ValidClaim) SELECT ID,ClaimNo,EmployeeName,FullName,FirstName,LastName,Address1,Address2,City,State,Zip,Email,Telephone,Province,PostalCode,Country,ConfirmationNo,POBox,International,FullAddress,IPAdd,Option_A,Option_B,FourPackKonaBeersUnitCount,SixPackKonaBeersUnitCount,TwelvePackKonaBeersUnitCount,TwentyFourPackKonaBeersUnitCount,TotalAmount,PaymentMethod,Replace(FileUploadPath,'f:\www\konabeersettlementfiles\' + Convert(varchar,ID),'\\cptfs2\ClassAction2\Admin Cases\KONA_BREWING_BROOMFIELD_C\OCP\' + Convert(Varchar,(ID + 1000000))),LastLoggedIn,DateSigned,OptOut,OptInReceived,ESign,'True' as xClaimFiledOnline,'cGary' AS xEnteredby,GETDATE() AS Expr1,IIf([OptInReceived] > '10/8/2019 06:00:00','True','False') AS xReceived, IIf(Option_A = 1,'True','False') AS xValid FROM OCPEmployees Where OptInReceived is not null","INSERT INTO MailingList (ID, EmployeeName, FullName, FName, LName, Address1, Address2, City, State, Zip, Email, Homephone, Country, SourceID, Source ) SELECT ID, EmployeeName, FullName, FirstName, LastName, Address1, Address2, City, State, Zip, Email, Telephone, Country, ID as SourceID, 'OCPEmployees' as Source FROM OCPEmployees",,1,0,FileUploadPath,\\10.0.0.5\www\konabeersettlementfiles,\\cptfs2\ClassAction2\Admin Cases\KONA_BREWING_BROOMFIELD_C\OCP,0,Both,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,OptInReceived,NULL
6,U.S. Equal Employment Opportunity Commission v. Nevada Restaurant Services,NULL,NULL,ClassMembers,Select * From ClassMembers where OptInReceived is not null,Truncate Table ClassMembers,Truncate Table OCPEmployees,NULL,"UPDATE dbo.OCPEmployees SET EmployeeName = LName + ', ' + FName, FullName = FName + ' ' + LName'",Update OCPEmployees Set [Delete] = 'True' WHERE IPAdd = '209.80.5.75' Or Email Like '%cptgroup.com',"Update OCPEmployees Set [Delete] = 'True' From ( Select ClaimNo, ClaimFiledOnline From cleanclaims) b Where b.ClaimNo = OCPEmployees.ClaimNo And b.ClaimFiledOnline = 1",Delete From OCPEmployees Where [Delete] = 1,Select * From OCPEmployees Where [Delete] = 0,NULL,NULL,"Update MailingList Set Address1 = b.Address1,Address2 = b.Address2,City = b.City,State = b.State,Zip = b.Zip From (Select ID,Address1,Address2,City,State,Zip From OCPEmployees Where addressChanged = 'True') b Where b.ID = MailingList.ID",0,0,NULL,kon,kon,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,OptInReceived,NULL
7,Wackenthut Class Action Settlement,WackenhutClassActionSettlementClaimsSQL,wackenhutsettlement,ClassMembers,Select * From ClassMembers where OptInReceived is not null,Truncate Table ClassMembers,Truncate Table OCPEmployees,"INSERT INTO OCPEmployees([ID],[ClaimNo],[EmployeeName],[FullName],[FName],[LName],[ADDRESS1],[ADDRESS2],[CITY],[STATE],[ZIP],[estAmount],[TotalHours],[Passcode],[CMEmail1],[CMEmail2],[CMCellPhone],[CMHomePhone],[Last4DigitSSN],[LastLoggedIn],[DateSigned],[OptIn],[OptInReceived],[ESign],[ConfirmationNo],[IPAdd],[AddressChanged]) SELECT [ID],[ID]+1000000 AS x,[EmployeeName],[FullName],[FName],[LName],[ADDRESS1],[ADDRESS2],[CITY],[STATE],[ZIP],[estAmount],[TotalHours],[Passcode],[CMEmail1],[CMEmail2],[CMCellPhone],[CMHomePhone],[Last4DigitSSN],[LastLoggedIn],[DateSigned],[OptIn],[OptInReceived],[ESign],[ConfirmationNo],[IPAdd],[AddressChanged] FROM ClassMembers WHERE OptInReceived Is Not Null",,Update OCPEmployees Set [Delete] = 'True' WHERE ID > 19999,"Update OCPEmployees Set [Delete] = 'True' From ( Select ClaimNo, ClaimFiledOnline From cleanclaims) b Where b.ClaimNo = OCPEmployees.ClaimNo And b.ClaimFiledOnline = 1",Delete From OCPEmployees Where [Delete] = 1,Select * From OCPEmployees Where [Delete] = 0,"Insert into CleanClaims ([ClaimNo],[EmployeeName],[Address1],[Address2],[City],[State],[Zip],[MailingListID],[HomePhone],[CellPhone],[Email1],[Email2],[DateReceived],[EnteredBy],[DateEntered],[LateClaim],[W9SSN],[AddressChange],[ConfirmationNo],[ClaimFiledOnline],[ESign],[IPAdd],[DateSignedOnline],[estAmount],[TotalHours],[Passcode]) Select [ClaimNo],[EmployeeName],[ADDRESS1],[ADDRESS2],[CITY],[STATE],[ZIP],ID,[CMHomePhone],[CMCellPhone],[CMEmail1],[CMEmail2],OptinReceived,'cGary' AS xEnteredby,GETDATE() AS Expr1,IIf([OptInReceived] > '9/24/2019 23:59:59','True','False') AS xReceived,[Last4DigitSSN],[AddressChanged],[ConfirmationNo],'True' as xClaimFiledOnline,[ESign],[IPAdd],[DateSigned],[estAmount],[TotalHours],[Passcode] FROM OCPEmployees Where OptInReceived is not null",,"Update MailingList Set Address1 = b.Address1,Address2 = b.Address2,City = b.City,State = b.State,Zip = b.Zip From (Select ID,Address1,Address2,City,State,Zip From OCPEmployees Where addressChanged = 'True') b Where b.ID = MailingList.ID",0,0,NULL,NULL,NULL,0,Claim,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,OptInReceived,NULL
8,Cleese v. MLT,MLT_Cleese_O_SQL,VersaillesClassAction,ClassMembers,Select * From ClassMembers where OptInReceived is not null,"DROP TABLE ClassMembers; 
select * INTO ClassMembers  FROM
openquery([10.0.0.5],'SELECT * FROM [VersaillesClassAction].[dbo].[ClassMembers] WHERE OptInReceived IS NOT NULL');","DROP TABLE OCPEmployees; 
select *, (ID + 1000000) AS ClaimNo, CAST(0 AS bit) AS [Delete]
INTO OCPEmployees FROM ClassMembers;","Insert Into OCPEmployees (ID,ClaimNo,EmployeeName,FullName,FName,LName,Address1,Address2,City,State,Zip,Telephone,Passcode,DateSigned,OptInReceived,ESign,ConfirmationNo,IPAdd,AddressChanged,ApartmentUnit,StartDate,EndDate,Email,SecondAttempt,Question1,Question2,QuestionnaireConfirmationNo,Oops) Select ID,[ID]+1000000 AS x,EmployeeName,FullName,FName,LName,Address1,Address2,City,State,Zip,Telephone,Passcode,DateSigned,OptInReceived,ESign,ConfirmationNo,IPAdd,AddressChanged,ApartmentUnit,StartDate,EndDate,Email,SecondAttempt,Question1,Question2,QuestionnaireConfirmationNo,Oops From Classmembers where OptinReceived Is Not Null",,Update OCPEmployees Set [Delete] = 'True' WHERE ID >= 5000,"Update OCPEmployees Set [Delete] = 'True' From ( Select ClaimNo, ClaimFiledOnline From cleanclaims) b Where b.ClaimNo = OCPEmployees.ClaimNo And b.ClaimFiledOnline = 1",Delete From OCPEmployees Where [Delete] = 1,Select * From OCPEmployees Where [Delete] = 0,"Insert into CleanClaims (MailingListID,ClaimNo,EmployeeName,Address1,Address2,City,State,Zip,HomePhone,Passcode,DateSignedOnline,DateReceived,ESign,ConfirmationNo,IPAdd,AddressChange,Email,Question1,Question2,QuestionnaireConfirmationNo,EnteredBy,DateEntered,LateClaim,ClaimFiledOnline) Select ID,ClaimNo,EmployeeName,Address1,Address2,City,State,Zip,Telephone,Passcode,DateSigned,OptInReceived,ESign,ConfirmationNo,IPAdd,AddressChanged,Email,Question1,Question2,QuestionnaireConfirmationNo,'cGary' AS xEnteredby,GETDATE() AS Expr1,IIf([OptInReceived] > '12/31/2022 23:59:59','True','False') AS xReceived,'True' as xClaimFiledOnline FROM OCPEmployees Where OptInReceived is not null",,"Update MailingList Set Address1 = b.Address1,Address2 = b.Address2,City = b.City,State = b.State,Zip = b.Zip From (Select ID,Address1,Address2,City,State,Zip From OCPEmployees Where addressChanged = 'True') b Where b.ID = MailingList.ID",0,0,NULL,NULL,NULL,0,Exclusion,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,None Given,https://www.versaillesclassaction.com/,OptInReceived,NULL
9,West v Contemporary Services Corporation,ContemporaryServicesWestClaimsSQL,cscclassactionsettlement,ClassMembers,Select * From ClassMembers where OptInReceived is not null,Truncate Table ClassMembers,Truncate Table OCPEmployees,"INSERT INTO OCPEmployees (ID, ClaimNo, EmployeeName, FullName, FName, LName, Address1, Address2, City, State, Zip, Last4SSN, Telephone, Email, PassCode, Position1, Position2, Position3, DatesWorked1, DatesWorked2, DatesWorked3, estAmount, PayPeriods,FileUploadPath, IsHuman,LastLoggedIn,  DateSigned, OptIn, OptInReceived, ESign, ConfirmationNo, IPAdd, AddressChanged,Dispute) SELECT ID, [ID]+1000000 AS x, EmployeeName, FullName, FName, LName, Address1, Address2, City, State, Zip, Last4SSN, Telephone, Email, PassCode,Position1, Position2, Position3, DatesWorked1, DatesWorked2, DatesWorked3, estAmount, PayPeriods,FileUploadPath, IsHuman,LastLoggedIn, DateSigned, OptIn, OptInReceived, ESign, ConfirmationNo, IPAdd, AddressChanged,Dispute FROM ClassMembers WHERE OptInReceived Is Not Null","UPDATE dbo.OCPEmployees SET EmployeeName = LName + ', ' + FName, FullName = FName + ' ' + LName'",Update OCPEmployees Set [Delete] = 'True' WHERE ID > 49999,"Update OCPEmployees Set [Delete] = 'True' From ( Select ClaimNo, ClaimFiledOnline From cleanclaims) b Where b.ClaimNo = OCPEmployees.ClaimNo And b.ClaimFiledOnline = 1",Delete From OCPEmployees Where [Delete] = 1,Select * From OCPEmployees Where [Delete] = 0,"Insert into CleanClaims ([ClaimNo],[EmployeeName],[Address1],[Address2],[City],[State],[Zip],[MailingListID],[HomePhone],[Email],[DateReceived],[EnteredBy],[DateEntered],[LateClaim],[AddressChange],[ConfirmationNo],[ClaimFiledOnline],[ESign],[IPAdd],[DateSignedOnline],[Attachment],[PayPeriods],[EstAmount],[Passcode],[Position1],[Position2],[Position3],[DatesWorked1],[DatesWorked2],[DatesWorked3],[Last4SSN],[IsHuman],Disputed) Select ClaimNo,EmployeeName,Address1,[Address2],[City],[State] ,[Zip],ID,Telephone,Email,OptInReceived,'cGary' AS xEnteredby,GETDATE() AS Expr1,IIf([OptInReceived] > '11/23/2019 23:59:59','True','False') AS xReceived,AddressChanged,ConfirmationNo,'True' as xClaimFiledOnline,ESign,IPAdd,DateSigned,Replace(FileUploadPath,'f:\www\cscclassactionsettlementfiles\' + Convert(varchar,ID),'\\cptfs2\ClassAction2\Admin Cases\CONTEMPORARY_SERVICES_WEST_C\OCP\' + Convert(Varchar,(ID + 1000000))),[PayPeriods],[EstAmount],[Passcode],[Position1],[Position2],[Position3],[DatesWorked1],[DatesWorked2],[DatesWorked3],[Last4SSN],[IsHuman],Dispute FROM OCPEmployees Where OptInReceived is not null",,"Update MailingList Set Address1 = b.Address1,Address2 = b.Address2,City = b.City,State = b.State,Zip = b.Zip From (Select ID,Address1,Address2,City,State,Zip From OCPEmployees Where addressChanged = 'True') b Where b.ID = MailingList.ID",0,1,FileUploadPath,NULL,\\cptfs2\ClassAction2\Admin Cases\CONTEMPORARY_SERVICES_WEST_C\OCP,0,Claim,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,OptInReceived,NULL
10,Express Messenger Systems Wage and Hour Cases,EMSWageAndHourCasesPostCertSQL,EMSWageAndHour,ClassMembers,Select * From ClassMembers where OptInReceived is not null,Truncate Table ClassMembers,Truncate Table OCPEmployees,"INSERT INTO OCPEmployees (ID, ClaimNo, EmployeeName, FullName, FName, LName, Address1, Address2, City, State, Zip,PassCode, IsHuman,LastLoggedIn, DateSigned, OptIn, OptInReceived, ESign, FormFullName, ConfirmationNo, IPAdd, AddressChanged) SELECT ID, [ID]+1000000 AS x, EmployeeName, FullName, FName, LName, Address1, Address2, City, State, Zip, PassCode,IsHuman,LastLoggedIn, DateSigned, OptIn, OptInReceived, ESign, FormFullName, ConfirmationNo, IPAdd, AddressChanged FROM ClassMembers WHERE OptInReceived Is Not Null","UPDATE dbo.OCPEmployees SET EmployeeName = LName + ', ' + FName, FullName = FName + ' ' + LName'",Update OCPEmployees Set [Delete] = 'True' WHERE ID > 50000,"Update OCPEmployees Set [Delete] = 'True' From ( Select ClaimNo, ClaimFiledOnline From cleanclaims) b Where b.ClaimNo = OCPEmployees.ClaimNo And b.ClaimFiledOnline = 1",Delete From OCPEmployees Where [Delete] = 1,Select * From OCPEmployees Where [Delete] = 0,"Insert into CleanClaims ([ClaimNo],[EmployeeName],[Address1],[Address2],[City],[State],[Zip],[MailingListID],[DateReceived],[EnteredBy],[DateEntered],[LateClaim],[AddressChange],[ConfirmationNo],[ClaimFiledOnline],[ESign],[IPAdd],[DateSignedOnline],[Passcode],FormFullName,IsHuman, OptOut) Select ClaimNo,EmployeeName,[Address1],[Address2],[City],[State],[Zip],ID,OptInReceived,'cGary' AS xEnteredby,GETDATE() AS Expr1,IIf([OptInReceived] > '11/12/2019 23:59:59','True','False') AS xReceived,AddressChanged,ConfirmationNo,'True' as xClaimFiledOnline,ESign,IPAdd,DateSigned,Passcode, FormFullName, IsHuman, 'True' FROM OCPEmployees Where OptInReceived is not null",,"Update MailingList Set Address1 = b.Address1,Address2 = b.Address2,City = b.City,State = b.State,Zip = b.Zip From (Select ID,Address1,Address2,City,State,Zip From OCPEmployees Where addressChanged = 'True') b Where b.ID = MailingList.ID",0,0,NULL,NULL,NULL,0,Exclusion,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,OptInReceived,NULL
11,Leslie v. Cunningham Restaurant Group LLC,CRGLesliePostCertSQL,CRGOvertimeLawsuit,ClassMembers,Select * From ClassMembers where OptInReceived is not null,Truncate Table ClassMembers,Truncate Table OCPEmployees,"Insert into OCPEmployees ([ID],[ClaimNo],[EmployeeName],[FullName],[FName],[LName],[Address1],[Address2],[City],[State],[Zip],[HomePhone],[CellPhone],[Email],[EmergencyContactName],[EmergencyContactPhone],[Passcode],[IsHuman],[LastLoggedIn],[DateSigned],[OptIn],[OptInReceived],[ESign],[ConfirmationNo],[IPAdd],[AddressChanged]) Select [ID],[ID]+1000000 AS x,[EmployeeName],[FullName],[FName],[LName],[Address1],[Address2],[City],[State],[Zip],[HomePhone],[CellPhone],[Email],[EmergencyContactName],[EmergencyContactPhone],[Passcode],[IsHuman],[LastLoggedIn],[DateSigned],[OptIn],[OptInReceived],[ESign],[ConfirmationNo],[IPAdd],[AddressChanged] From ClassMembers Where OptInReceived is not null","UPDATE dbo.OCPEmployees SET EmployeeName = LName + ', ' + FName, FullName = FName + ' ' + LName'",Update OCPEmployees Set [Delete] = 'True' WHERE ID > 1000,"Update OCPEmployees Set [Delete] = 'True' From ( Select ClaimNo, ClaimFiledOnline From cleanclaims) b Where b.ClaimNo = OCPEmployees.ClaimNo And b.ClaimFiledOnline = 1",Delete From OCPEmployees Where [Delete] = 1,Select * From OCPEmployees Where [Delete] = 0,"Insert into CleanClaims ([ClaimNo],[EmployeeName],[FullName],[FName],[LName],[Address1],[Address2],[City],[State],[Zip],[MailingListID],[HomePhone],[CellPhone],[Email],[EmergencyContactName],[EmergencyContactPhone],[DateReceived],[EnteredBy],[DateEntered],[LateClaim],[AddressChange],[ConfirmationNo],[ClaimFiledOnline],[ESign],[IPAdd],[DateSignedOnline],[Passcode] ) Select ClaimNo,EmployeeName,FullName,FName,LName,Address1,Address2,City,State,Zip,ID,HomePhone,CellPhone,Email,[EmergencyContactName],[EmergencyContactPhone],OptInReceived,'cGary' AS xEnteredby,GETDATE() AS Expr1,IIf([OptInReceived] > '1/3/2020 23:59:59','True','False') AS xReceived,AddressChanged,ConfirmationNo,'True' as xClaimFiledOnline,ESign,IPAdd,DateSigned,Passcode FROM OCPEmployees Where OptInReceived is not null",,"Update MailingList Set Address1 = b.Address1,Address2 = b.Address2,City = b.City,State = b.State,Zip = b.Zip From (Select ID,Address1,Address2,City,State,Zip From OCPEmployees Where addressChanged = 'True') b Where b.ID = MailingList.ID",0,0,NULL,NULL,NULL,0,Claim,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,OptInReceived,NULL
