,sort order,faq link,faq label,faq description / text ,
550e8400-e29b-41d4-a716-446655440001,1,,What is a Class Action Lawsuit?,"In a class action lawsuit, one or more people called “Class Representatives” sue on behalf of other people who have similar claims because they allege they have been harmed in the same way. The people together are a “class” or individually “class members.” The individual who brings a lawsuit is called a Plaintiff, and the company sued is called the Defendant. In a class action, one court resolves the issues for everyone in the class—except for those people who choose to exclude themselves from the class.",
550e8400-e29b-41d4-a716-446655440002,2,4,How do I Know if I’m Included in the Settlement?,"Please refer to your Notice (e.g., letter, postcard, email, text) for the class or case description to determine if you are eligible. If your Notice includes a website, you can also visit that site for more information about eligibility.",
550e8400-e29b-41d4-a716-446655440003,3,,What is the Settlement About?,"Please refer to your Notice (e.g., letter, postcard, email, text) for a description of the case.  If your Notice includes a website, you can also visit that site for more details on the reason for the settlement.",
550e8400-e29b-41d4-a716-446655440004,4,16,What is my Settlement Amount?,"Your estimated settlement amount may be listed on your Notice. Amounts are subject to change and are dependent on receiving Final Approval from the Court, as applicable. Amounts can differ based on the final awarded settlement amount and the type of case.",
550e8400-e29b-41d4-a716-446655440005,5,,What Does it Mean to Exclude Myself or Opt-Out of the Settlement?,"If you opt out, you will not have any rights as a member of the Settlement Class. You will not receive a payment or benefits as part of the Settlement. You will not be bound by the Settlement, releases, or by any further orders or judgments in this case. You will keep the right, if any, to sue on the claims alleged in the Action at your own expense.

Each case has specific criteria to submit a valid request for exclusion or “Opt-Out”. Additionally, not all cases accept exclusions. Review your Notice (e.g., letter, postcard, email, text) for instructions to Object to the case.  If your Notice includes a website, you can also visit that site for more details on how to exclude yourself.   ",
550e8400-e29b-41d4-a716-446655440006,6,,What Does it Mean to Object to the Settlement?,"If you are a Settlement Class Member and you do not opt out of the Settlement, you can object to the Settlement if you do not think it is fair, reasonable, or adequate. You can give reasons why you think the Court should not approve it. You cannot ask the Court to change or order a different settlement; the Court can only approve or deny this Settlement. If the Court denies approval, no settlement payments will be sent out and the Action will continue. If that is what you want to happen, you must object.

Each case has specific criteria to submit a valid objection. Additionally, not all cases accept objections. Review your Notice (e.g., letter, postcard, email, text) for instructions to object to the case.  If your Notice includes a website, you can also visit that site for more details on how to object.  ",
550e8400-e29b-41d4-a716-446655440007,7,,Can I Opt-Out and Object to the Settlement?," If you opt out of the Settlement you cannot file an objection because the Settlement no longer affects you. If you object to the Settlement and request to exclude yourself, your objection will be voided, and you will be deemed to have excluded yourself.",
550e8400-e29b-41d4-a716-446655440008,8,,What if I Disagree with my Settlement Amount?,"If you believe your estimated settlement amount is incorrect and/or the criteria to calculate that amount (e.g., Workweeks, shifts) is not accurate, you have the option to submit a dispute. If your case allows disputes, instructions are provided in the Notice you received. Typically, you must inform CPT (the Settlement Administrator) about the discrepancy, provide your believed correct information and submit supporting documentation.  ",
550e8400-e29b-41d4-a716-446655440009,9,,How do I Submit a Claim?,"If your case is claim based, review your Notice (e.g., letter, postcard, email, text) for instructions on how to submit a claim.  If your Notice includes a website, you can also visit that site for more details on how to submit a claim.   ",
550e8400-e29b-41d4-a716-446655440010,10,,What is my ID and/or Passcode?,"If your case has an interactive web portal for submissions, you may be asked for an ID and/or Passcode to log into the form. Your ID and/or Passcode are located on the Notice that you received directing you to the website. If you received a letter or email, this information is typically in the upper right corner. If you received a postcard, it is typically above your name and address.",
550e8400-e29b-41d4-a716-446655440011,11,14,Did you Receive my Response?,"Depending on your case, you can submit responses through mail, email or online via an interactive web portal. 
•	If you submitted via email, a confirmation email will be sent within 7 business days.
•	If you submitted via mail, it could take up to 30 days from the postmark date to be processed. You will not receive receipt confirmation. We will only contact you if we need additional information or have questions about your response. 
•	If you submitted online, you received a confirmation number on the confirmation page after you click submit. Additionally, an email was sent with the confirmation details. 

If you are still unsure if your response was received, you can send an inquiry to our team.",
550e8400-e29b-41d4-a716-446655440012,12,15,Did you Receive my Supporting Documents?,"If you received a request for supporting documents based on your initial submission, your response options are typically via email or mail. 

•	If you submitted your supporting documents via email, a confirmation email will be sent within 7 business days.
•	If you submitted via mail, it could take up to 30 days from the postmark date to be processed. You will not receive receipt confirmation. We will only contact you if we need additional information or have questions about your supporting information. 
",
550e8400-e29b-41d4-a716-446655440013,13,17,When Will I Receive my Settlement Payment,"Disbursement of individual payments occurs based on the case and court type. Some courts have longer appeal periods than others, which extends the length of time between the Court granting Final Approval (e.g., 30 days or 60 days after) and disbursement.  Review the case website (if applicable) for disbursement updates.  ",
550e8400-e29b-41d4-a716-446655440014,14,,What is a Final Approval Hearing?,"The Court holds a Final Approval Hearing (also called the Fairness Hearing) to consider whether the Settlement is fair, reasonable, and adequate; Class Counsel’s application for attorneys’ fees, costs, and expenses; and whether to approve Service Awards to the Class Representatives (if applicable).

If there are objections, the Court will consider them. The Court may choose to hear from people who have asked to speak at the hearing. At or after the hearing, the Court will decide whether to approve the Settlement. There is no deadline by which the Court must make its decision.

You do not need to attend the Final Approval Hearing as Class Counsel will answer any questions from the Court. You may attend at your own expense if you wish.
",
550e8400-e29b-41d4-a716-446655440015,15,6,What if I Did Not Receive my Payment?,"Payments can take between 10-14 business days to arrive. Therefore, please allow that amount of time from the disbursement date to receive your payment. If you are a participating Class Member or Claimant and have not received your payment after 14 business days, you can request a reissue . ",
