ID,Sort Order,Label,Required Fields,Optional Fields,FAQ ID Link,Additional Notes,,ASTRA Notes
1,1,Address Update,"name,cptId,previousAddress,newAddress,phone",supportingDocs,,Standard address change request,,
2,2,Name Change,"name,cptId,previousName,newName,phone",supportingDocs,,Legal name change request,,
3,3,Notice Packet Request,"name,cptId,email,mailingAddress,phone",,,Request for physical notice packet,,
4,4,Passcode Request,"name,cptId,email,phone",,How to find on notice,FAQ reference: How to find passcode on notice,,
5,5,Requests to Be Added,"name,cptId,reason,address,phone",supportingDocs,,Request to be added to case/class,,
6,6,Check Reissue Request,"name,cptId,reason,previousAddress,newAddress,email,phone",,,Request for check reissue due to address change,,
7,7,Dispute Work Weeks/Shifts,"name,cptId,reason,address,phone",supportingDocs,,Dispute regarding work weeks or shifts,,
8,8,Deceased Class Member,"name,cptId,beneficiaryName,beneficiaryAddress,beneficiaryEmail,phone",supportingDocs,,Notification of deceased class member,,
9,9,Deficiency Response,"name,cptId,detailedResponse,phone",supportingDocs,,Response to deficiency notice,,
10,10,Tax Form Request,"name,cptId,email,mailingAddress,phone",,,Request for tax forms (1099, etc.),
11,11,Copy of Cashed Check,"name,cptId,email,mailingAddress,phone",,,Request for copy of cashed check,,
12,12,Request Fraud Affidavit,"name,cptId,email,mailingAddress,phone",,,Request for fraud affidavit form,,
13,13,SSN Response,"name,cptId,email,mailingAddress,ssnTaxId,phone",,,Response with SSN/Tax ID information,,
14,14,What is my settlement amount,phone,,How to find on notice,FAQ reference: Settlement amount lookup - may resolve without submission,,
15,15,When will I receive my check,phone,,How to find on notice,FAQ reference: Check timing - may resolve without submission,,
16,16,Did you receive my claim form/response,phone,,,Status inquiry - may resolve without submission,,
17,17,Have you received my supporting documents,phone,,,Status inquiry - may resolve without submission,,
